clrm,class,aio
mczx-1501,网络教室,电子白板
mczx-1401,182,一体机
mczx-1301,183,一体机
mczx-1302,184,一体机
mczx-1303,185,一体机
mczx-1201,186,一体机
mczx-1202,187,一体机
mczx-1203,188,一体机
mczx-1101,189,一体机
mczx-1102,190,一体机
mczx-1103,191,一体机
mczx-2402,193,一体机
mczx-2403,192,一体机
mczx-2301,220,一体机
mczx-2302,219,一体机
mczx-2303,218,一体机
mczx-2304,217,一体机
mczx-2201,196,一体机
mczx-2202,195,一体机
mczx-2203,194,一体机
mczx-2101,199,一体机
mczx-2102,197,一体机
mczx-2103,198,一体机
mczx-3101,200,一体机
mczx-3102,201,一体机
mczx-3103,202,一体机
mczx-3201,203,一体机
mczx-3202,204,一体机
mczx-3203,205,一体机
mczx-3301,206,一体机
mczx-3302,207,一体机
mczx-3303,208,一体机
mczx-3401,209,一体机
mczx-3402,210,一体机
mczx-3403,211,一体机
mczx-3404,212,一体机
mczx-3501,213,一体机
mczx-3502,214,一体机
mczx-3503,215,一体机
mczx-3504,216,无电脑
mczx-4301,221,电子白板
mczx-4302,222,电子白板
mczx-4303,223,电子白板
mczx-4304,224,电子白板
mczx-4201,225,电子白板
mczx-4202,226,无电脑
mczx-4203,227,电子白板
mczx-4204,228,电子白板
mczx-5301,229,电子白板
mczx-5302,230,无电脑
mczx-5201,231,电子白板
mczx-5202,232,电子白板
mczx-5101,233,电子白板
mczx-5102,234,电子白板
