,clrm,weekday,1,2,3,4,5,6,7
0,182,一,化学2班,数学2班,语文2班,英语2班,体育2班,美术2班,班团会班��
1,182,二,英语2班,数学2班,化学2班,物理2班,语文2班,英语2班,思品2班
2,182,三,语文2班,英语2班,体育2班,思品2班,历史2班,语文2班,数学2班
3,182,四,数学2班,英语2班,语文2班,历史2班,化学2班,自修2班,物理2班
4,182,五,物理2班,数学2班,英语2班,语文2班,音乐2班,数学2班,活动2班
5,183,一,数学3班,化学3班,英语3班,语文3班,美术3班,思品3班,班团会班��
6,183,二,化学3班,语文3班,物理3班,英语3班,数学3班,自修3班,历史3班
7,183,三,数学3班,思品3班,英语3班,历史3班,语文3班,化学3班,体育3班
8,183,四,英语3班,语文3班,体育3班,数学3班,物理3班,数学3班,语文3班
9,183,五,英语3班,物理3班,语文3班,数学3班,音乐3班,英语3班,活动3班
10,184,一,英语4班,数学4班,语文4班,化学4班,历史4班,体育4班,班团会班��
11,184,二,语文4班,历史4班,英语4班,思品4班,数学4班,物理4班,英语4班
12,184,三,数学4班,物理4班,英语4班,语文4班,思品4班,数学4班,化学4班
13,184,四,物理4班,英语4班,数学4班,体育4班,音乐4班,语文4班,美术4班
14,184,五,化学4班,语文4班,数学4班,英语4班,语文4班,自修4班,活动4班
15,185,一,数学5班,语文5班,化学5班,英语5班,体育5班,自修5班,班团会班��
16,185,二,英语5班,数学5班,语文5班,物理5班,体育5班,英语5班,数学5班
17,185,三,物理5班,历史5班,语文5班,英语5班,数学5班,化学5班,思品5班
18,185,四,数学5班,思品5班,英语5班,语文5班,美术5班,音乐5班,语文5班
19,185,五,化学5班,数学5班,英语5班,物理5班,历史5班,语文5班,活动5班
20,186,一,语文6班,英语6班,数学6班,化学6班,数学6班,历史6班,班团会班��
21,186,二,英语6班,物理6班,数学6班,语文6班,思品6班,英语6班,美术6班
22,186,三,物理6班,语文6班,英语6班,历史6班,数学6班,化学6班,体育6班
23,186,四,英语6班,数学6班,体育6班,思品6班,语文6班,自修6班,音乐6班
24,186,五,语文6班,数学6班,化学6班,英语6班,语文6班,物理6班,活动6班
25,187,一,数学7班,化学7班,英语7班,历史7班,美术7班,语文7班,班团会班��
26,187,二,物理7班,语文7班,化学7班,英语7班,数学7班,物理7班,历史7班
27,187,三,思品7班,英语7班,语文7班,化学7班,语文7班,数学7班,体育7班
28,187,四,物理7班,英语7班,数学7班,自修7班,数学7班,英语7班,语文7班
29,187,五,英语7班,体育7班,数学7班,语文7班,音乐7班,思品7班,活动7班
30,188,一,数学8班,化学8班,历史8班,英语8班,体育8班,语文8班,班团会班��
31,188,二,物理8班,语文8班,化学8班,数学8班,自修8班,数学8班,英语8班
32,188,三,音乐8班,数学8班,语文8班,英语8班,思品8班,语文8班,物理8班
33,188,四,化学8班,语文8班,英语8班,物理8班,数学8班,英语8班,历史8班
34,188,五,数学8班,语文8班,美术8班,思品8班,英语8班,体育8班,活动8班
35,189,一,物理9班,英语9班,语文9班,数学9班,历史9班,思品9班,班团会班��
36,189,二,数学9班,英语9班,化学9班,美术9班,英语9班,语文9班,体育9班
37,189,三,英语9班,思品9班,化学9班,语文9班,数学9班,自修9班,物理9班
38,189,四,英语9班,化学9班,数学9班,语文9班,历史9班,体育9班,数学9班
39,189,五,英语9班,数学9班,语文9班,物理9班,语文9班,音乐9班,活动9班
40,190,一,英语0班,物理0班,化学0班,语文0班,数学0班,自修0班,班团会班��
41,190,二,语文0班,数学0班,英语0班,思品0班,英语0班,物理0班,化学0班
42,190,三,语文0班,物理0班,英语0班,数学0班,音乐0班,数学0班,体育0班
43,190,四,数学0班,英语0班,体育0班,语文0班,历史0班,语文0班,思品0班
44,190,五,化学0班,英语0班,历史0班,数学0班,美术0班,语文0班,活动0班
45,191,一,思品1班,英语1班,语文1班,物理1班,化学1班,数学1班,班团会班��
46,191,二,英语1班,化学1班,物理1班,体育1班,语文1班,数学1班,自修1班
47,191,三,数学1班,英语1班,语文1班,物理1班,体育1班,思品1班,音乐1班
48,191,四,英语1班,数学1班,语文1班,化学1班,数学1班,历史1班,语文1班
49,191,五,历史1班,数学1班,英语1班,语文1班,英语1班,美术1班,活动1班
50,192,一,数学2班,英语2班,物理2班,体育2班,语文2班,音乐2班,班团会班��
51,192,二,数学2班,语文2班,英语2班,化学2班,英语2班,数学2班,美术2班
52,192,三,化学2班,英语2班,语文2班,思品2班,数学2班,语文2班,物理2班
53,192,四,历史2班,语文2班,英语2班,思品2班,数学2班,化学2班,体育2班
54,192,五,英语2班,语文2班,数学2班,物理2班,历史2班,自修2班,活动2班
55,193,一,语文3班,数学3班,化学3班,物理3班,英语3班,数学3班,班团会班��
56,193,二,英语3班,数学3班,语文3班,体育3班,美术3班,英语3班,思品3班
57,193,三,语文3班,思品3班,物理3班,英语3班,语文3班,数学3班,音乐3班
58,193,四,数学3班,英语3班,物理3班,历史3班,化学3班,语文3班,自修3班
59,193,五,数学3班,英语3班,语文3班,化学3班,体育3班,历史3班,活动3班
60,194,一,物理4班,数学4班,语文4班,英语4班,美术4班,音乐4班,班团会班��
61,194,二,英语4班,物理4班,思品4班,数学4班,语文4班,自修4班,化学4班
62,194,三,语文4班,英语4班,体育4班,化学4班,数学4班,语文4班,物理4班
63,194,四,数学4班,语文4班,英语4班,思品4班,体育4班,数学4班,历史4班
64,194,五,数学4班,英语4班,化学4班,历史4班,语文4班,英语4班,活动4班
65,195,一,物理5班,英语5班,数学5班,思品5班,语文5班,音乐5班,班团会班��
66,195,二,语文5班,数学5班,体育5班,英语5班,数学5班,英语5班,历史5班
67,195,三,历史5班,数学5班,语文5班,化学5班,体育5班,英语5班,物理5班
68,195,四,英语5班,物理5班,数学5班,化学5班,语文5班,自修5班,思品5班
69,195,五,语文5班,数学5班,化学5班,英语5班,美术5班,语文5班,活动5班
70,196,一,语文6班,数学6班,历史6班,英语6班,自修6班,化学6班,班团会班��
71,196,二,语文6班,英语6班,美术6班,体育6班,音乐6班,物理6班,数学6班
72,196,三,英语6班,思品6班,语文6班,物理6班,化学6班,数学6班,历史6班
73,196,四,化学6班,物理6班,英语6班,数学6班,英语6班,语文6班,数学6班
74,196,五,语文6班,英语6班,数学6班,体育6班,语文6班,思品6班,活动6班
75,197,一,英语7班,语文7班,化学7班,数学7班,美术7班,自修7班,班团会班��
76,197,二,化学7班,数学7班,英语7班,思品7班,历史7班,语文7班,物理7班
77,197,三,语文7班,语文7班,物理7班,英语7班,数学7班,历史7班,体育7班
78,197,四,英语7班,化学7班,数学7班,思品7班,语文7班,数学7班,英语7班
79,197,五,英语7班,物理7班,体育7班,语文7班,数学7班,音乐7班,活动7班
80,198,一,思品8班,化学8班,数学8班,语文8班,英语8班,历史8班,班团会班��
81,198,二,数学8班,英语8班,语文8班,数学8班,体育8班,物理8班,化学8班
82,198,三,英语8班,音乐8班,语文8班,历史8班,思品8班,数学8班,物理8班
83,198,四,化学8班,英语8班,美术8班,语文8班,数学8班,自修8班,语文8班
84,198,五,英语8班,数学8班,语文8班,物理8班,英语8班,体育8班,活动8班
85,199,一,英语9班,数学9班,语文9班,化学9班,数学9班,体育9班,班团会班��
86,199,二,化学9班,数学9班,英语9班,语文9班,英语9班,思品9班,美术9班
87,199,三,数学9班,化学9班,英语9班,语文9班,物理9班,体育9班,历史9班
88,199,四,物理9班,思品9班,语文9班,自修9班,英语9班,语文9班,数学9班
89,199,五,数学9班,历史9班,物理9班,语文9班,音乐9班,英语9班,活动9班
90,200,一,英语0班,思品0班,数学0班,物理0班,语文0班,体育0班,英语0班
91,200,二,语文0班,英语0班,物理0班,音乐0班,数学0班,信息0班,生物0班
92,200,三,生物0班,语文0班,数学0班,英语0班,历史0班,地理0班,思品0班
93,200,四,数学0班,英语0班,体育0班,语文0班,美术0班,语文0班,物理0班
94,200,五,历史0班,语文0班,地理0班,数学0班,英语0班,数学0班,活动0班
95,201,一,数学1班,语文1班,物理1班,英语1班,地理1班,英语1班,体育1班
96,201,二,英语1班,数学1班,信息1班,语文1班,物理1班,思品1班,数学1班
97,201,三,英语1班,历史1班,语文1班,体育1班,语文1班,数学1班,音乐1班
98,201,四,物理1班,生物1班,语文1班,数学1班,英语1班,地理1班,思品1班
99,201,五,数学1班,英语1班,语文1班,生物1班,历史1班,美术1班,活动1班
100,202,一,英语2班,生物2班,语文2班,体育2班,历史2班,物理2班,数学2班
101,202,二,英语2班,地理2班,音乐2班,数学2班,语文2班,体育2班,英语2班
102,202,三,地理2班,英语2班,语文2班,数学2班,语文2班,思品2班,物理2班
103,202,四,英语2班,数学2班,历史2班,生物2班,信息2班,美术2班,语文2班
104,202,五,语文2班,思品2班,数学2班,物理2班,数学2班,英语2班,活动2班
105,203,一,语文3班,英语3班,数学3班,历史3班,物理3班,数学3班,思品3班
106,203,二,生物3班,数学3班,物理3班,语文3班,英语3班,音乐3班,历史3班
107,203,三,语文3班,地理3班,体育3班,思品3班,英语3班,语文3班,数学3班
108,203,四,数学3班,英语3班,语文3班,信息3班,体育3班,生物3班,美术3班
109,203,五,英语3班,数学3班,物理3班,语文3班,英语3班,地理3班,活动3班
110,204,一,英语4班,历史4班,数学4班,物理4班,地理4班,语文4班,生物4班
111,204,二,数学4班,语文4班,体育4班,思品4班,物理4班,数学4班,英语4班
112,204,三,英语4班,生物4班,音乐4班,语文4班,体育4班,语文4班,数学4班
113,204,四,地理4班,数学4班,语文4班,英语4班,思品4班,美术4班,信息4班
114,204,五,数学4班,英语4班,物理4班,语文4班,英语4班,历史4班,活动4班
115,205,一,数学5班,语文5班,英语5班,物理5班,音乐5班,生物5班,英语5班
116,205,二,英语5班,思品5班,数学5班,体育5班,语文5班,美术5班,数学5班
117,205,三,历史5班,语文5班,英语5班,数学5班,体育5班,信息5班,语文5班
118,205,四,语文5班,物理5班,英语5班,历史5班,地理5班,数学5班,思品5班
119,205,五,生物5班,语文5班,数学5班,物理5班,地理5班,英语5班,活动5班
120,206,一,英语6班,数学6班,地理6班,音乐6班,语文6班,物理6班,英语6班
121,206,二,数学6班,语文6班,英语6班,物理6班,历史6班,思品6班,体育6班
122,206,三,地理6班,生物6班,思品6班,语文6班,数学6班,英语6班,语文6班
123,206,四,数学6班,英语6班,语文6班,数学6班,生物6班,体育6班,历史6班
124,206,五,数学6班,语文6班,物理6班,英语6班,美术6班,信息6班,活动6班
125,207,一,语文7班,英语7班,物理7班,数学7班,美术7班,历史7班,数学7班
126,207,二,思品7班,数学7班,生物7班,地理7班,英语7班,语文7班,物理7班
127,207,三,英语7班,语文7班,数学7班,体育7班,音乐7班,思品7班,英语7班
128,207,四,语文7班,数学7班,物理7班,英语7班,体育7班,语文7班,地理7班
129,207,五,语文7班,信息7班,英语7班,历史7班,数学7班,生物7班,活动7班
130,208,一,英语8班,生物8班,物理8班,数学8班,语文8班,语文8班,英语8班
131,208,二,语文8班,英语8班,历史8班,数学8班,地理8班,体育8班,生物8班
132,208,三,语文8班,英语8班,体育8班,思品8班,数学8班,物理8班,历史8班
133,208,四,数学8班,英语8班,语文8班,物理8班,音乐8班,数学8班,思品8班
134,208,五,地理8班,语文8班,数学8班,英语8班,信息8班,美术8班,活动8班
135,209,一,语文9班,英语9班,思品9班,历史9班,地理9班,数学9班,英语9班
136,209,二,英语9班,数学9班,体育9班,物理9班,语文9班,历史9班,思品9班
137,209,三,数学9班,物理9班,语文9班,生物9班,信息9班,英语9班,数学9班
138,209,四,英语9班,物理9班,数学9班,地理9班,语文9班,体育9班,语文9班
139,209,五,语文9班,数学9班,音乐9班,生物9班,美术9班,英语9班,活动9班
140,210,一,英语0班,历史0班,物理0班,数学0班,语文0班,信息0班,数学0班
141,210,二,数学0班,语文0班,英语0班,物理0班,体育0班,思品0班,英语0班
142,210,三,思品0班,地理0班,英语0班,语文0班,数学0班,历史0班,生物0班
143,210,四,语文0班,数学0班,生物0班,英语0班,美术0班,语文0班,音乐0班
144,210,五,语文0班,数学0班,英语0班,地理0班,体育0班,物理0班,活动0班
145,211,一,英语1班,地理1班,语文1班,思品1班,数学1班,美术1班,英语1班
146,211,二,英语1班,历史1班,数学1班,语文1班,信息1班,语文1班,生物1班
147,211,三,数学1班,历史1班,语文1班,英语1班,物理1班,数学1班,体育1班
148,211,四,数学1班,生物1班,音乐1班,物理1班,语文1班,地理1班,英语1班
149,211,五,英语1班,思品1班,语文1班,体育1班,数学1班,物理1班,活动1班
150,212,一,数学2班,地理2班,生物2班,英语2班,语文2班,语文2班,体育2班
151,212,二,历史2班,数学2班,信息2班,生物2班,物理2班,语文2班,英语2班
152,212,三,英语2班,语文2班,美术2班,数学2班,数学2班,英语2班,历史2班
153,212,四,英语2班,语文2班,物理2班,体育2班,地理2班,数学2班,思品2班
154,212,五,数学2班,英语2班,语文2班,物理2班,思品2班,音乐2班,活动2班
155,213,一,数学3班,语文3班,音乐3班,英语3班,英语3班,地理3班,历史3班
156,213,二,数学3班,英语3班,思品3班,物理3班,语文3班,数学3班,体育3班
157,213,三,历史3班,生物3班,美术3班,语文3班,数学3班,思品3班,英语3班
158,213,四,数学3班,地理3班,物理3班,英语3班,语文3班,语文3班,信息3班
159,213,五,语文3班,数学3班,英语3班,体育3班,生物3班,物理3班,活动3班
160,214,一,语文4班,数学4班,物理4班,历史4班,美术4班,英语4班,数学4班
161,214,二,英语4班,语文4班,数学4班,语文4班,地理4班,体育4班,物理4班
162,214,三,英语4班,信息4班,语文4班,数学4班,思品4班,生物4班,体育4班
163,214,四,英语4班,语文4班,数学4班,历史4班,地理4班,物理4班,英语4班
164,214,五,生物4班,英语4班,语文4班,思品4班,音乐4班,数学4班,活动4班
165,215,一,数学5班,语文5班,英语5班,物理5班,语文5班,生物5班,思品5班
166,215,二,语文5班,生物5班,历史5班,英语5班,物理5班,数学5班,音乐5班
167,215,三,地理5班,英语5班,数学5班,体育5班,语文5班,信息5班,美术5班
168,215,四,英语5班,数学5班,英语5班,体育5班,数学5班,语文5班,历史5班
169,215,五,数学5班,英语5班,物理5班,语文5班,地理5班,思品5班,活动5班
170,216,一,语文6班,英语6班,思品6班,数学6班,生物6班,物理6班,数学6班
171,216,二,英语6班,历史6班,生物6班,数学6班,语文6班,英语6班,美术6班
172,216,三,数学6班,物理6班,体育6班,英语6班,语文6班,思品6班,地理6班
173,216,四,语文6班,信息6班,体育6班,语文6班,英语6班,历史6班,数学6班
174,216,五,英语6班,语文6班,地理6班,物理6班,音乐6班,数学6班,活动6班
175,217,一,数学7班,英语7班,音乐7班,思品7班,英语7班,语文7班,班团会班��
176,217,二,英语7班,语文7班,体育7班,数学7班,历史7班,生物7班,书法7班
177,217,三,地理7班,数学7班,思品7班,历史7班,数学7班,语文7班,英语7班
178,217,四,语文7班,信息7班,美术7班,英语7班,语文7班,体育7班,数学7班
179,217,五,生物7班,语文7班,数学7班,英语7班,地理7班,劳技7班,活动7班
180,218,一,英语8班,数学8班,体育8班,地理8班,语文8班,历史8班,班团会班��
181,218,二,语文8班,英语8班,音乐8班,生物8班,语文8班,数学8班,书法8班
182,218,三,英语8班,历史8班,语文8班,数学8班,信息8班,劳技8班,思品8班
183,218,四,英语8班,思品8班,数学8班,生物8班,数学8班,英语8班,语文8班
