,星期一,,,,,,,,,,,,星期二,,,,,,,,,,,,星期三,,,,,,,,,,,,星期四,,,,,,,,,,,,星期五,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,10,11,1,2,3,4,5,6,7,8,9,,10,11,1,2,3,4,5,6,7,8,9,,10,11,1,2,3,4,5,6,7,8,9,,10,11,1,2,3,4,5,6,7,8,9,,10,11
初三(33),英语,英语,数学,政治,班会,,物理,语文,语文,,化学,化学,政治,化学,语文,物理,数学,,数学,体育,英语,,英语,数学,语文,语文,物理,英语,历史,,体育,数学,英语,,语文,物理,物理,物理,英语,语文,数学,,化学,政治,美术,,数学,历史,化学,数学,化学,英语,历史,,音乐,语文,,晚自习,,
初三(34),历史,数学,语文,物理,班会,,美术,英语,体育,,政治,数学,化学,语文,英语,数学,化学,,政治,物理,历史,,数学,英语,英语,英语,语文,物理,数学,,历史,政治,语文,,物理,语文,语文,语文,数学,化学,英语,,数学,音乐,化学,,化学,化学,物理,物理,数学,语文,英语,,体育,英语,,晚自习,,
初三(35),政治,化学,语文,数学,班会,,政治,英语,物理,,数学,英语,语文,数学,英语,语文,物理,,体育,历史,数学,,英语,数学,英语,语文,英语,数学,英语,,政治,物理,音乐,,语文,化学,化学,数学,英语,语文,化学,,物理,美术,化学,,物理,物理,历史,数学,语文,英语,体育,,历史,语文,,晚自习,,
初三(36),物理,语文,英语,美术,班会,,化学,数学,体育,,英语,政治,英语,语文,语文,数学,物理,,音乐,英语,物理,,语文,英语,语文,英语,数学,物理,体育,,语文,历史,化学,,化学,物理,物理,英语,语文,数学,政治,,英语,数学,历史,,历史,数学,化学,化学,物理,数学,英语,,政治,语文,,晚自习,,
初三(37),语文,数学,语文,英语,班会,,历史,英语,物理,,化学,英语,物理,物理,数学,语文,音乐,,英语,政治,数学,,政治,语文,英语,物理,英语,语文,体育,,化学,历史,数学,,音乐,化学,历史,语文,英语,数学,化学,,体育,语文,政治,,英语,数学,美术,化学,英语,语文,数学,,美术,物理,,晚自习,,
初三(38),英语,历史,英语,化学,班会,,体育,数学,语文,,英语,物理,化学,语文,物理,数学,英语,,语文,历史,化学,,语文,语文,语文,语文,数学,英语,政治,,美术,物理,英语,,化学,历史,音乐,语文,数学,物理,英语,,数学,英语,化学,,数学,英语,政治,政治,语文,数学,体育,,物理,音乐,,晚自习,,
初三(39),语文,语文,数学,英语,班会,,物理,政治,音乐,,英语,化学,政治,语文,数学,物理,英语,,英语,数学,语文,,英语,语文,英语,英语,物理,语文,化学,,历史,数学,体育,,历史,物理,物理,化学,语文,数学,历史,,美术,英语,体育,,数学,数学,化学,英语,物理,数学,政治,,化学,语文,,晚自习,,
初三(40),历史,物理,数学,化学,班会,,语文,英语,美术,,物理,英语,英语,英语,数学,语文,体育,,政治,物理,历史,,语文,英语,美术,数学,英语,数学,语文,,物理,音乐,英语,,化学,政治,化学,英语,数学,语文,化学,,语文,政治,历史,,数学,英语,语文,语文,物理,英语,体育,,化学,数学,,晚自习,,
初三(41),语文,语文,历史,数学,班会,,语文,数学,英语,,英语,物理,政治,英语,语文,化学,物理,,英语,美术,政治,,数学,历史,化学,语文,数学,英语,物理,,物理,化学,体育,,语文,化学,英语,语文,数学,英语,体育,,历史,数学,音乐,,英语,数学,物理,英语,政治,化学,数学,,物理,语文,,晚自习,,
初三(42),政治,数学,语文,英语,班会,,音乐,化学,物理,,物理,英语,历史,语文,数学,英语,政治,,化学,物理,体育,,化学,化学,音乐,英语,语文,数学,化学,,历史,政治,语文,,物理,语文,语文,英语,物理,语文,数学,,英语,历史,体育,,数学,英语,英语,物理,英语,数学,美术,,语文,数学,,晚自习,,
初二(43),语文,语文,英语,数学,班会,,英语,政治,物理,,数学,英语,英语,英语,数学,物理,体育,,地理,数学,语文,,物理,语文,历史,语文,英语,数学,生物,,历史,体育,音乐,,英语,数学,物理,物理,语文,数学,历史,,美术,信息,英语,,政治,生物,地理,语文,英语,数学,政治,,生物,地理,,晚自习,,
初二(44),政治,英语,语文,数学,班会,,美术,物理,体育,,数学,英语,英语,生物,语文,英语,数学,,数学,地理,音乐,,历史,生物,地理,语文,数学,英语,历史,,物理,英语,体育,,数学,英语,语文,地理,政治,数学,物理,,语文,生物,英语,,语文,物理,物理,英语,语文,数学,信息,,历史,政治,,晚自习,,
初二(45),语文,英语,数学,历史,班会,,语文,体育,信息,,语文,数学,历史,数学,英语,语文,物理,,英语,政治,生物,,生物,英语,物理,英语,数学,语文,地理,,美术,政治,生物,,数学,英语,英语,英语,数学,物理,音乐,,数学,地理,历史,,物理,地理,政治,物理,数学,英语,语文,,体育,语文,,晚自习,,
初二(46),生物,语文,物理,地理,班会,,英语,生物,数学,,英语,语文,语文,语文,数学,英语,物理,,政治,体育,数学,,数学,地理,物理,生物,数学,英语,信息,,地理,英语,语文,,物理,英语,英语,数学,英语,历史,语文,,物理,政治,音乐,,数学,政治,历史,数学,语文,历史,英语,,美术,体育,,晚自习,,
初二(47),语文,数学,英语,物理,班会,,信息,体育,地理,,政治,英语,英语,英语,生物,语文,数学,,美术,历史,英语,,数学,物理,历史,数学,英语,语文,物理,,政治,历史,语文,,英语,物理,数学,英语,数学,语文,政治,,音乐,体育,数学,,地理,语文,生物,英语,数学,生物,地理,,物理,语文,,晚自习,,
初二(48),生物,数学,语文,英语,班会,,数学,政治,体育,,英语,政治,语文,英语,语文,物理,数学,,英语,地理,生物,,语文,数学,地理,数学,英语,物理,体育,,信息,美术,语文,,英语,历史,英语,语文,数学,英语,历史,,生物,地理,物理,,物理,数学,物理,语文,数学,历史,英语,,音乐,政治,,晚自习,,
初二(49),政治,数学,物理,英语,班会,,体育,语文,地理,,物理,数学,历史,物理,语文,美术,数学,,英语,数学,音乐,,英语,生物,英语,英语,历史,数学,生物,,语文,体育,物理,,语文,英语,语文,语文,英语,数学,信息,,英语,政治,地理,,数学,物理,地理,英语,数学,语文,生物,,历史,政治,,晚自习,,
初二(50),历史,英语,数学,语文,班会,,地理,体育,音乐,,数学,物理,物理,数学,英语,政治,美术,,生物,语文,地理,,生物,英语,政治,物理,数学,英语,语文,,数学,政治,英语,,英语,语文,英语,英语,数学,历史,物理,,信息,语文,生物,,地理,数学,语文,语文,英语,数学,物理,,体育,历史,,晚自习,,
初二(51),数学,语文,数学,英语,班会,,体育,信息,美术,,英语,物理,生物,语文,数学,英语,地理,,物理,体育,政治,,政治,地理,物理,英语,数学,生物,历史,,英语,物理,语文,,数学,英语,英语,英语,数学,语文,音乐,,数学,生物,历史,,历史,语文,语文,语文,物理,政治,英语,,地理,数学,,晚自习,,
初二(52),语文,数学,语文,英语,班会,,历史,政治,数学,,物理,历史,英语,英语,语文,数学,体育,,信息,物理,美术,,英语,政治,地理,物理,英语,地理,数学,,语文,生物,音乐,,生物,数学,数学,数学,语文,英语,体育,,政治,地理,英语,,语文,英语,物理,生物,英语,物理,历史,,数学,语文,,晚自习,,
初一(53),地理,英语,语文,数学,班会,,地理,音乐,数学,,英语,音乐,英语,英语,语文,数学,体育,,生物,政治,历史,,历史,数学,信息,英语,语文,数学,美术,,数学,语文,英语,,生物,政治,语文,语文,数学,英语,历史,,信息,体育,地理,,数学,语文,政治,政治,数学,英语,生物,,英语,语文,,晚自习,,
初一(54),英语,数学,英语,生物,班会,,政治,语文,英语,,语文,英语,信息,语文,数学,英语,历史,,音乐,数学,语文,,数学,历史,历史,语文,数学,英语,体育,,信息,历史,地理,,政治,语文,语文,英语,语文,数学,美术,,生物,数学,体育,,地理,数学,生物,数学,英语,语文,政治,,地理,英语,,晚自习,,
初一(55),英语,英语,数学,语文,班会,,历史,数学,政治,,信息,美术,历史,英语,地理,数学,信息,,体育,生物,语文,,英语,语文,语文,数学,语文,历史,英语,,音乐,语文,生物,,数学,语文,政治,语文,数学,英语,政治,,体育,英语,数学,,数学,生物,地理,数学,英语,语文,地理,,英语,美术,,晚自习,,
初一(56),政治,语文,数学,地理,班会,,语文,生物,体育,,历史,数学,英语,语文,英语,数学,音乐,,信息,英语,数学,,语文,英语,历史,数学,英语,语文,体育,,地理,历史,英语,,语文,数学,语文,英语,生物,数学,政治,,数学,语文,美术,,生物,地理,音乐,英语,语文,数学,历史,,政治,英语,,晚自习,,
初一(57),历史,英语,政治,数学,班会,,语文,数学,生物,,数学,信息,政治,英语,数学,语文,地理,,英语,体育,信息,,音乐,英语,英语,语文,数学,英语,音乐,,政治,数学,语文,,数学,生物,地理,数学,英语,语文,地理,,历史,英语,体育,,语文,政治,语文,数学,语文,英语,美术,,生物,历史,,晚自习,,
初一(58),英语,数学,英语,语文,班会,,地理,政治,英语,,语文,语文,语文,数学,语文,英语,美术,,政治,信息,体育,,英语,音乐,地理,数学,英语,语文,地理,,英语,数学,语文,,生物,生物,生物,英语,数学,语文,体育,,数学,历史,生物,,政治,数学,历史,数学,语文,历史,音乐,,生物,英语,,晚自习,,
初一(59),英语,英语,语文,信息,班会,,音乐,数学,语文,,英语,历史,政治,政治,英语,数学,语文,,美术,英语,数学,,地理,地理,生物,语文,数学,英语,历史,,生物,历史,体育,,政治,英语,,数学,语文,英语,体育,,地理,政治,英语,,数学,语文,语文,语文,生物,数学,英语,,地理,数学,,晚自习,,
初一(60),语文,语文,英语,数学,班会,,信息,英语,历史,,历史,英语,英语,英语,数学,语文,地理,,政治,历史,数学,,数学,数学,地理,数学,英语,语文,生物,,体育,英语,美术,,英语,信息,,数学,英语,数学,音乐,,语文,地理,体育,,语文,政治,生物,英语,数学,语文,政治,,生物,语文,,晚自习,,
初一(61),语文,语文,数学,英语,班会,,地理,生物,历史,,地理,历史,历史,语文,数学,英语,政治,,体育,英语,音乐,,英语,数学,英语,英语,数学,语文,地理,,数学,历史,政治,,语文,政治,信息,英语,语文,数学,美术,,体育,英语,生物,,生物,英语,政治,语文,数学,英语,信息,,数学,语文,,晚自习,,
初一(62),信息,英语,语文,音乐,班会,,英语,数学,生物,,政治,地理,地理,数学,地理,数学,英语,,生物,历史,政治,,数学,英语,语文,数学,语文,英语,美术,,体育,英语,语文,,历史,语文,政治,数学,英语,语文,历史,,体育,信息,地理,,英语,生物,英语,英语,语文,数学,政治,,语文,数学,,晚自习,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
